,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
9698,Older than 70,7,Separated,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
12712,50-59,5,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,Black or African American alone,Female,low
13774,25-29,2,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,Black or African American alone,Male,high
2688,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
16672,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,high
15399,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,low
15667,30-39,3,Separated,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Male,low
13342,Younger than 25,1,Never married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,low
11944,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
2842,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
4484,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,high
11451,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Office/Administrative Support,White alone,Female,low
8263,25-29,2,Never married,20-39,2,Associate Degree,7,private,Sales,Black or African American alone,Female,low
12860,40-49,4,Separated,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Female,low
19437,40-49,4,Married,20-39,2,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
8148,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,low
11915,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,self employed,Construction/Extraction,White alone,Male,low
18020,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
3995,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,governmental,Service/Hospitality,Black or African American alone,Male,low
8312,Younger than 25,1,Married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
12030,40-49,4,Married,Less than 20,1,"Started College, No Diploma",6,governmental,Office/Administrative Support,White alone,Female,low
6268,50-59,5,Separated,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Female,low
7481,25-29,2,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
16937,40-49,4,Never married,20-39,2,Bachelor Degree,8,private,Transport,Black or African American alone,Female,low
5223,60-69,6,Married,40-49,3,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
16888,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,high
4036,50-59,5,Widowed,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
20843,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
22251,Older than 70,7,Widowed,Less than 20,1,High School or GED Diploma,5,private,Finance/Accounting,White alone,Female,low
21475,60-69,6,Married,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,high
13469,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,high
20093,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Transport,White alone,Male,high
2529,60-69,6,Married,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
8299,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Sales,White alone,Male,low
15231,60-69,6,Never married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
16717,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,high
908,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Legal Services,Black or African American alone,Male,high
2912,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,private,Transport,White alone,Male,low
15397,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,low
16816,40-49,4,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,low
8694,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,high
12288,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
8151,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
5088,50-59,5,Married,20-39,2,"Started College, No Diploma",6,self employed,Sales,White alone,Male,low
20430,30-39,3,Separated,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,low
21407,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,low
4507,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
11357,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Entertainment,White alone,Female,low
19874,40-49,4,Separated,40-49,3,Bachelor Degree,8,governmental,Office/Administrative Support,Black or African American alone,Female,low
4244,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
11791,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
9517,60-69,6,Married,40-49,3,Associate Degree,7,governmental,Healthcare/Medical Services,White alone,Male,high
21117,50-59,5,Married,More than 50,4,Associate Degree,7,governmental,Office/Administrative Support,White alone,Female,low
8770,60-69,6,Married,40-49,3,Middle School,3,private,Production/Assembly,Black or African American alone,Male,low
3976,25-29,2,Married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Female,low
2186,40-49,4,Married,40-49,3,Associate Degree,7,private,Service/Hospitality,White alone,Male,low
315,30-39,3,Never married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,White alone,Male,low
11645,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
3193,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
19906,30-39,3,Married,40-49,3,Associate Degree,7,private,Office/Administrative Support,Other,Female,low
3439,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Office/Administrative Support,Black or African American alone,Female,low
14526,40-49,4,Separated,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
13005,50-59,5,Widowed,40-49,3,High School or GED Diploma,5,governmental,Management/Business,Black or African American alone,Male,low
10718,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,high
11153,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
11836,Older than 70,7,Married,40-49,3,"Started High School, No Diploma",4,self employed,Transport,White alone,Male,low
18293,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,governmental,Healthcare/Medical Services,White alone,Male,high
14656,30-39,3,Separated,More than 50,4,Doctorate Degree,10,private,Education,White alone,Female,low
5238,60-69,6,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Male,high
8586,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Male,low
13962,60-69,6,Married,40-49,3,"Started College, No Diploma",6,self employed,Transport,White alone,Male,high
5724,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
15194,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,"Science, Engineering, Technology",White alone,Male,high
4039,30-39,3,Never married,40-49,3,High School or GED Diploma,5,self employed,Transport,White alone,Male,low
3760,25-29,2,Separated,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
8425,25-29,2,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
13825,50-59,5,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
8810,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
20545,60-69,6,Married,40-49,3,Bachelor Degree,8,self employed,Legal Services,White alone,Male,high
9635,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
1681,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
13643,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Office/Administrative Support,White alone,Female,low
18485,30-39,3,Married,40-49,3,Associate Degree,7,private,Production/Assembly,White alone,Female,low
7659,50-59,5,Widowed,40-49,3,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Female,low
20095,30-39,3,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
17286,40-49,4,Separated,20-39,2,Associate Degree,7,private,Protective Services,White alone,Male,low
6751,40-49,4,Married,20-39,2,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,low
9171,50-59,5,Married,Less than 20,1,Middle School,3,self employed,Service/Hospitality,Black or African American alone,Female,low
15082,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Construction/Extraction,White alone,Male,low
8910,40-49,4,Married,20-39,2,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
20090,60-69,6,Married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Male,high
7931,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
11389,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
16399,50-59,5,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Male,high
3231,40-49,4,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Production/Assembly,Black or African American alone,Male,low
14777,25-29,2,Never married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
19752,30-39,3,Married,20-39,2,Associate Degree,7,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
6982,25-29,2,Married,Less than 20,1,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
19451,50-59,5,Married,Less than 20,1,Master or other Degree Beyond Bachelor,9,self employed,Entertainment,White alone,Female,low
16875,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
1373,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,low
4579,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
1544,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
2035,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
8042,40-49,4,Never married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,low
13305,Older than 70,7,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Male,high
16547,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
13930,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,high
9549,30-39,3,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
9806,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
21930,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,governmental,Service/Hospitality,White alone,Male,low
10727,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
16425,Younger than 25,1,Never married,40-49,3,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
19645,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Management/Business,White alone,Male,high
18988,60-69,6,Married,40-49,3,Bachelor Degree,8,governmental,Office/Administrative Support,Other,Male,high
6566,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
2140,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,high
3503,60-69,6,Married,More than 50,4,Bachelor Degree,8,private,Sales,Black or African American alone,Male,high
16719,30-39,3,Separated,Less than 20,1,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
22078,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
6209,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
3427,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
4319,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Finance/Accounting,White alone,Female,low
4649,60-69,6,Married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,high
14497,60-69,6,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
1905,Older than 70,7,Never married,Less than 20,1,High School or GED Diploma,5,private,Transport,White alone,Male,low
3131,40-49,4,Separated,40-49,3,Master or other Degree Beyond Bachelor,9,private,Production/Assembly,Other,Male,low
15331,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Entertainment,White alone,Female,low
14346,30-39,3,Married,40-49,3,Associate Degree,7,governmental,Sales,White alone,Male,low
8577,Older than 70,7,Married,More than 50,4,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
17301,50-59,5,Separated,40-49,3,Associate Degree,7,governmental,Office/Administrative Support,Black or African American alone,Female,low
12587,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
2475,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,high
7999,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
16536,40-49,4,Married,More than 50,4,No Elementary School,1,private,Production/Assembly,White alone,Male,high
1637,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Male,low
21909,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Education,White alone,Male,low
14836,25-29,2,Married,20-39,2,Associate Degree,7,private,Service/Hospitality,White alone,Female,low
20260,Younger than 25,1,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
2893,60-69,6,Never married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
9761,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
7816,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
15487,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
21670,Older than 70,7,Married,20-39,2,Elementary School,2,self employed,Service/Hospitality,White alone,Male,low
11432,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,high
20064,40-49,4,Married,40-49,3,"Started High School, No Diploma",4,private,Management/Business,White alone,Female,low
20605,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Management/Business,White alone,Female,high
2563,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Female,low
1369,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
9767,30-39,3,Married,40-49,3,Doctorate Degree,10,governmental,Protective Services,Black or African American alone,Female,high
3456,50-59,5,Married,More than 50,4,"Started High School, No Diploma",4,self employed,Transport,White alone,Male,high
11503,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
17045,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Female,low
1844,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,self employed,Sales,White alone,Male,high
11587,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
16059,40-49,4,Never married,20-39,2,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
3918,50-59,5,Never married,40-49,3,High School or GED Diploma,5,governmental,Construction/Extraction,White alone,Female,low
9916,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,low
13686,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
21139,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
1517,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,self employed,Healthcare/Medical Services,White alone,Male,high
12391,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,self employed,Transport,White alone,Male,low
18689,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Office/Administrative Support,White alone,Female,low
4031,30-39,3,Married,40-49,3,No Elementary School,1,private,Transport,Other,Female,low
12081,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
17911,60-69,6,Separated,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Male,high
4552,60-69,6,Separated,40-49,3,Associate Degree,7,private,Service/Hospitality,Black or African American alone,Female,low
15512,40-49,4,Separated,40-49,3,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Female,low
14858,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Sales,Black or African American alone,Female,low
16175,50-59,5,Married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
11278,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
20375,50-59,5,Separated,40-49,3,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
17270,25-29,2,Never married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Legal Services,White alone,Female,low
8289,40-49,4,Never married,40-49,3,Bachelor Degree,8,private,Production/Assembly,Other,Female,high
14710,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
19792,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
12677,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
2161,Younger than 25,1,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
2404,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Protective Services,Black or African American alone,Male,low
7528,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
13312,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Office/Administrative Support,White alone,Male,high
17440,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Transport,White alone,Male,low
18040,60-69,6,Widowed,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
13960,50-59,5,Never married,40-49,3,"Started College, No Diploma",6,governmental,Office/Administrative Support,Black or African American alone,Female,high
20123,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,Other,Male,low
3071,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
15068,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
20771,30-39,3,Married,40-49,3,Associate Degree,7,governmental,Construction/Extraction,White alone,Male,high
8229,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Female,low
12511,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Service/Hospitality,White alone,Male,high
5552,30-39,3,Never married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,low
2593,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,self employed,Service/Hospitality,White alone,Male,low
6021,60-69,6,Married,More than 50,4,Associate Degree,7,private,Education,White alone,Female,low
8231,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,high
6542,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
1793,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
8925,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
14226,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Service/Hospitality,White alone,Male,low
8108,30-39,3,Married,20-39,2,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
5557,40-49,4,Married,40-49,3,Middle School,3,self employed,Production/Assembly,White alone,Male,low
9872,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
8339,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,high
16303,40-49,4,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
1159,60-69,6,Married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
10606,40-49,4,Married,40-49,3,Associate Degree,7,private,Production/Assembly,Black or African American alone,Male,low
9205,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
6754,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,Other,Female,low
2174,30-39,3,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
10643,Older than 70,7,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
2364,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
7290,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
22097,40-49,4,Separated,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Male,low
10372,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
11449,40-49,4,Married,40-49,3,High School or GED Diploma,5,self employed,Service/Hospitality,Black or African American alone,Female,low
5348,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
3533,50-59,5,Married,40-49,3,Associate Degree,7,governmental,Finance/Accounting,White alone,Female,low
9345,60-69,6,Married,More than 50,4,"Started High School, No Diploma",4,self employed,Service/Hospitality,White alone,Male,low
18911,60-69,6,Married,Less than 20,1,No Elementary School,1,private,Construction/Extraction,White alone,Male,low
11470,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
6481,60-69,6,Never married,20-39,2,High School or GED Diploma,5,self employed,Transport,Black or African American alone,Male,low
17134,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,high
21270,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
13898,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Male,high
8355,25-29,2,Married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
4446,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
18660,60-69,6,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,high
16768,50-59,5,Never married,More than 50,4,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Male,high
15362,40-49,4,Married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,White alone,Female,high
8137,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Finance/Accounting,White alone,Female,low
21977,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
21304,60-69,6,Married,40-49,3,Doctorate Degree,10,governmental,Education,White alone,Female,high
16236,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Female,low
5743,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
6543,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
15999,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
12439,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Sales,White alone,Male,high
4713,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
5218,25-29,2,Married,More than 50,4,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
19889,Younger than 25,1,Never married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Female,high
3059,60-69,6,Married,40-49,3,"Started High School, No Diploma",4,governmental,Service/Hospitality,White alone,Male,low
